unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,EST,Estonia,BCG,90,90,90,91,92,92,94,95,95,95,96,97,99,97,97,98,98,99,99,99,99,99,99,99
ESAR,SWZ,Eswatini,BCG,93,94,96,97,98,98,98,97,98,99,99,99,98,98,97,96,95,94,93,92,91,90,89,88
ESAR,ETH,Ethiopia,BCG,74,68,68,70,69,71,73,72,70,69,68,74,80,76,74,71,69,66,64,60,59,58,57,56
EAPR,FJI,Fiji,BCG,99,99,99,99,97,96,94,93,91,90,99,99,99,99,99,99,99,99,98,98,97,97,97,96
Non-programme,FIN,Finland,BCG,,,,,,,,,,,,,,,,,,98,98,98,98,99,99,99
Non-programme,FRA,France,BCG,,,,,,,,,,,,,,,,,78,83,81,85,84,85,84,83
WCAR,GAB,Gabon,BCG,84,79,83,82,89,85,90,92,97,90,91,96,94,94,93,93,92,92,92,91,91,90,90,89
WCAR,GMB,Gambia,BCG,76,83,81,85,88,94,94,98,98,96,98,98,90,92,94,95,97,97,99,99,99,99,99,99
ECAR,GEO,Georgia,BCG,94,95,96,96,96,97,96,98,96,96,95,95,96,96,95,95,96,95,95,91,87,91,94,95
WCAR,GHA,Ghana,BCG,97,96,99,93,96,98,99,94,97,99,98,98,98,99,99,99,99,99,99,92,92,92,94,99
LACR,GTM,Guatemala,BCG,88,87,85,93,90,88,93,91,92,93,99,94,91,99,93,99,88,96,96,98,97,96,93,95
WCAR,GIN,Guinea,BCG,73,73,73,73,73,73,73,73,72,66,71,77,82,93,91,87,84,81,80,79,80,80,81,81
WCAR,GNB,Guinea-Bissau,BCG,81,80,34,67,84,89,87,91,92,93,93,94,92,93,94,93,92,90,89,87,84,82,79,77
LACR,GUY,Guyana,BCG,99,99,90,94,99,99,97,95,99,99,98,98,97,98,98,96,97,96,96,94,95,91,95,93
LACR,HTI,Haiti,BCG,73,73,73,73,73,83,83,83,83,81,82,82,83,82,80,78,78,75,75,74,74,73,72,72
LACR,HND,Honduras,BCG,72,77,82,83,87,93,92,93,94,96,97,98,99,99,99,99,99,97,98,98,91,94,99,99
Non-programme,HUN,Hungary,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
ROSA,IND,India,BCG,89,91,84,85,92,92,92,89,87,89,91,90,90,89,88,86,87,86,86,80,77,75,75,74
EAPR,IDN,Indonesia,BCG,88,93,81,87,90,92,93,90,90,90,90,88,98,88,78,80,83,88,86,85,83,82,80,81
MENA,IRN,Iran (Islamic Republic of),BCG,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,91,99
MENA,IRQ,Iraq,BCG,93,96,94,99,98,95,92,87,94,99,99,99,94,90,92,87,92,89,92,94,94,94,93,93
